Player,Country,Date_of_birth,Hand,Total_wins,Wins_percent,AVG_rank,VAR_rank,Clay_wins,Clay_wins_percent,Grass_wins,Grass_wins_percent,Hard_wins,Hard_wins_percent,Carpet_wins,Carpet_wins_percent,International_nmatches,Grand Slam_nmatches,International Gold_nmatches,Masters_nmatches,ATP250_nmatches,ATP500_nmatches,Masters 1000_nmatches,Masters Cup_nmatches,International Gold_nwins,ATP250_nwins,ATP500_nwins,Grand Slam_nwins,International_nwins,Masters_nwins,Masters 1000_nwins,Masters Cup_nwins,flag_url
Mcgee J.,IRL,1987-06-10,R,0,0,225.33333333333337,1697.3333333333333,0,NA,0,NA,0,0,0,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/ie.png
Rubin N.,USA,1996-02-21,R,7,25.925925925925924,253.85185185185185,20927.05413105413,1,25,0,0,6,28.57142857142857,0,NA,NA,8,NA,NA,15,3,1,NA,0,3,2,2,0,0,0,0,https://flagcdn.com/w320/us.png
Donaldson J.,USA,1996-10-09,R,44,41.509433962264154,92.72641509433964,2689.572057502246,4,26.666666666666668,5,38.46153846153847,35,44.87179487179488,0,NA,NA,16,NA,NA,40,16,34,NA,0,16,6,6,0,0,16,0,https://flagcdn.com/w320/us.png
Takeuchi K.,JPN,1987-12-19,L,0,0,441,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/jp.png
Burquier G.,FRA,1984-07-08,L,0,0,205,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/fr.png
Gao X.,CHN,1994-05-12,R,0,0,944,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/cn.png
Ouyang B.,CHN,1992-05-19,L,0,0,1098,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/cn.png
Gerasimov E.,BLR,1992-11-11,R,44,46.31578947368421,122.81052631578947,9051.899888017915,3,30,2,50,39,48.148148148148145,0,NA,NA,14,NA,NA,69,10,2,NA,0,36,3,5,0,0,0,0,https://flagcdn.com/w320/by.png
Wang C.,CHN,1992-02-24,R,1,50,553,0,0,NA,0,NA,1,50,0,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,1,0,https://flagcdn.com/w320/cn.png
Baluda V.,RUS,1992-09-30,R,0,0,466,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/ru.png
Gombos N.,SVK,1990-08-13,R,21,31.818181818181817,106.8181818181818,370.7664335664336,9,45,0,0,12,29.268292682926827,0,NA,NA,17,NA,NA,37,6,6,NA,0,13,2,4,0,0,2,0,https://flagcdn.com/w320/sk.png
Prashanth V.,NA,NA,NA,0,0,557,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/na.png
Ramanathan R.,IND,1994-11-08,R,14,34.146341463414636,210.46341463414635,9230.00487804878,0,NA,7,70,7,22.58064516129032,0,NA,NA,NA,NA,NA,34,4,3,NA,0,13,0,0,0,0,1,0,https://flagcdn.com/w320/in.png
Basilashvili N.,GEO,1992-02-23,R,132,45.83333333333333,52.236111111111114,1485.456252419667,40,48.19277108433735,15,45.45454545454545,77,44.76744186046512,0,NA,NA,51,NA,NA,122,53,62,NA,0,60,28,21,0,0,23,0,https://flagcdn.com/w320/ge.png
Thompson J.,USA,NA,R,133,46.996466431095406,67.28975265017668,826.3696463925019,14,33.33333333333333,27,48.214285714285715,92,49.72972972972973,0,NA,NA,59,NA,NA,139,42,43,NA,0,71,20,23,0,0,19,0,https://flagcdn.com/w320/us.png
Lokoli L.,FRA,1994-10-18,R,0,0,259.75,7717.357142857143,0,0,0,0,0,0,0,NA,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/fr.png
Moriya H.,JPN,1990-10-16,R,3,21.428571428571427,203.3571428571429,1411.478021978022,0,NA,0,0,3,23.076923076923077,0,NA,NA,3,NA,NA,7,4,NA,NA,0,2,1,0,0,0,0,0,https://flagcdn.com/w320/jp.png
Vanni L.,ITA,1985-06-04,R,5,22.727272727272727,130.77272727272728,583.2316017316017,4,33.33333333333333,0,0,1,11.11111111111111,0,NA,NA,3,NA,NA,16,NA,3,NA,0,4,0,0,0,0,1,0,https://flagcdn.com/w320/it.png
Jarry N.,CHI,1995-10-11,R,98,50,79.81122448979592,18030.030847723705,58,57.42574257425742,8,44.44444444444444,32,41.55844155844156,0,NA,NA,30,NA,NA,88,37,41,NA,0,51,17,10,0,0,20,0,https://flagcdn.com/w320/cl.png
Androic T.,CRO,1991-12-28,R,0,0,328.5,2380.5,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/hr.png
Kozlov S.,USA,1998-02-01,R,9,26.47058823529412,221.26470588235293,58140.44295900178,0,0,5,38.46153846153847,4,20,0,NA,NA,4,NA,NA,20,8,2,NA,0,6,2,1,0,0,0,0,https://flagcdn.com/w320/us.png
Rublev A.,RUS,1997-10-20,R,305,63.541666666666664,33.175,3690.770981210856,77,66.37931034482759,19,65.51724137931035,209,62.38805970149254,0,NA,NA,91,NA,NA,126,119,128,16,0,81,83,62,0,0,75,4,https://flagcdn.com/w320/ru.png
Molteni A.,ARG,1988-03-15,R,0,0,258.5,924.5,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/ar.png
